id,action,purpose,why,contact,url,agency,labeler
065e37740ceb,Track with agency,status,Parks says lights work and it will assign exterminators for the rats.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
066e07c5d656,Contact elected officials,funding,Parks funds are insufficient; recommends bringing this to elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
066e5d2c78c2,Track with agency,status,"Parks will discuss this lighting issue with DOT, which manages that lighting.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0679bb16b13d,Track with agency,status,LPC already hired 3 additional permit-issuing staff in FY2019.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
067b6b1a92f1,Contact agency,study,Parks has a storm drainage study underway; excludes implementation funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
067c3fd6b660,Track with agency,status,DHS is committed to union-wage-aligned compensation via collective bargaining.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
067cc55dd22e,Contact agency,reconsider,DOT already runs a Carshare program and won't fund the Circuit business model.,,https://www.nyc.gov/html/dot/html/motorist/carshare.shtml,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
067e381d0153,Track with agency,status,DOT is currently scoping capital reconstruction of this Edgemere Ave segment.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
068030da0470,Contact elected officials,funding,Elected officials funded this before; contact them for remaining appropriations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
068879f90d26,Track with agency,status,HPD already funds tenant legal services and senior-accessible housing programs.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
068a416f5d55,Contact agency,discuss,DOT asks board to contact agency promptly; curb repairs go to Borough Commissioner.,Borough Commissioner,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
068dd10bbfc9,No follow-up needed,none,DOT says this request has already been completed; safe cycling campaigns continue.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06b07e56296e,Contact elected officials,funding,NYC Aging will seek additional funding for this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06c2e12c3f46,Contact agency,clarify,HPD welcomes the board to identify specific buildings needing rehab attention.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06c48e4b0053,Contact agency,clarify,OMB says agency needs more information from the board on this request.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
06e59059d979,Contact agency,reconsider,Parks says site conditions prevent constructing a path at Harvey Park.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
06f0303ba2d6,Contact agency,discuss,Request already funded/accommodated; DCP asks board to contact Borough Office.,DCP's Borough Office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
06f69f503491,Contact elected officials,funding,NYPD cannot fund this; recommends the board contact elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0700e90a7490,Track with agency,status,HRA continues to maintain funding for Domestic Violence client services.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07014eae1227,Use 311 or another channel,channel,DHS says call 311 or use the app to dispatch street outreach teams to individuals.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0706bb8826b7,Contact agency,clarify,DOT doesn't understand the request and asks board to provide more details.,"Borough Commissioner, for curb repairs",,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0708ac5dd4b5,Contact agency,reconsider,Parks says its systematic 7-year block pruning program already covers this.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0713eabdf8cb,Contact agency,clarify,Branch renovations complete/ongoing; OMB says board should supply more detail to NYPL.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0729f0a4249b,Track with agency,status,HPD is accommodating this; holding conversations on non-HPD-owned parcels too.,,https://www.nyc.gov/site/hpd/about/hpd-owned-vacant-tax-lots.page,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0731bc9c1c38,Contact agency,discuss,DOHMH looks forward to discussing mental health partnership further.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07384ce95f6f,Contact agency,clarify,Parks asks if this refers to Bell Malls (in construction); needs location confirmed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0741607e2f9b,Contact agency,study,NYC Aging reviews HDM need quarterly to determine if expansion is needed.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07483cb4abe4,Track with agency,status,PEP can increase patrols and works with NYPD on drug issues in parks.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07499fd8c11a,Contact agency,reconsider,NYPD says the existing equipment is already in good working order.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0753a142cb21,Contact agency,redirect,LPC doesn't fund signage; the Landmarks Preservation Foundation runs markers program.,,,New York Landmarks Preservation Foundation,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
07555dd03d0f,Contact elected officials,funding,Program was federally funded; NYC Aging will work with City Council for more funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
075e05458791,Contact agency,study,DOT is reviewing traffic changes outside the budget process; further study needed.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
07768e85b0e8,Contact agency,redirect,Bella Abzug Park Block 5/6 now managed by HYDC; direct inquiries there.,,,HYDC,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
077804666827,Contact elected officials,funding,"Parks lacks funding for additional staff, office space, vehicles, and supplies.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
077ceead4263,Track with agency,status,OMB says Citywide funds are maintained; agencies will schedule allocations after adoption.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
079b810fb450,Use 311 or another channel,channel,Routine 7-year block pruning covers this; report urgent needs via Tree Map or 311.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
07aca4acbdc8,Track with agency,status,Ballfield reconstruction is funded by NYPD/DA's office and three foundations.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07ca42f14fdf,Contact agency,clarify,NYPD needs more information from the board before deciding on funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07ce5cab211f,Use 311 or another channel,channel,"OMB directs board to use DHS's application/RFP procedure, not budget requests.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
07e4c41aada1,Contact agency,discuss,Parks refers to its response for a related request; contact agency for details.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07f61c1745bf,Track with agency,status,Washington Square Park Conservancy is raising funds for synthetic turf installation.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
07fd38b2fbef,Contact agency,reconsider,DOT continues with existing resources only; full drainage fix needs DEP too.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
0808cc3dd693,Contact agency,study,DOT's speed reducer studies are delayed due to backlog and limited resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
080a095b91da,Contact elected officials,funding,Parks lacks capital funding for the boat launch ramp; advises advocating elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
081a3f9a297d,Contact agency,reconsider,H+H says operating a Trauma Center would be an unsustainable proposition.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
081b784a285e,Contact elected officials,funding,BPL supports and advocates for capital funding; OMB recommends elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0821f6e91e2e,Contact elected officials,funding,"DOT has requested funding, but availability is uncertain due to fiscal constraints.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08246d84d061,Track with agency,status,DOT is actively expanding Transit Signal Priority; M10 corridor activation planned next.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08261a1a4372,Contact agency,study,"DCP is completing an Industrial Plan study, expected by end of 2025, to inform policy.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08285b5f99a0,Contact agency,discuss,OMB says agency will accommodate if board contacts agency with more information.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
082c2a7e97c5,Contact agency,discuss,"Parks says this includes multiple projects; some are funded, others not.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08391a007eb2,Contact agency,redirect,HRA already maintains DV survivor programs; defers to ENDGBV for more support info.,,,Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0856b0efffb3,Track with agency,status,HPD says it will accommodate this issue within its existing resources.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
085a8c07d11b,Track with agency,status,Project has been funded through the Metro North Rezoning.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0864f56f803f,Track with agency,status,SCA confirms Reso A bathroom projects are in scope for both locations.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
086e9de1acb7,Track with agency,status,Agency will try to accommodate this issue within existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
089c8c6deaa2,Use 311 or another channel,channel,DOT says this isn't a budget request; submit specific locations through ARTS.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
08a797318fd6,Track with agency,status,Project was funded previously; final design contract has been let.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08c816ac1346,Track with agency,status,Capital funding exists to construct a park at Thursby.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08d8df3830ab,Contact elected officials,funding,High-end litter baskets need sponsorship from elected officials or others.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08d8f093e81d,Contact elected officials,funding,Kips Bay HVAC project is unfunded; OMB recommends elected officials.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08e0e06198fa,Contact agency,discuss,EDC says park upgrades will be privately funded; OMB says contact the agency.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
08e1e59cfaa5,Contact agency and elected officials,funding,NYPL supports project but needs restored capital funding; contact NYPL for more.,NYPL,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
08e545f28d66,Contact elected officials,funding,Parks lacks capital funding to improve this site; funding undetermined.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08efac6f6172,Contact elected officials,funding,"Some renovations are planned, but funding is needed for additional work.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08f19538736c,Track with agency,status,Park reconstruction begins this year; restroom in design; both fully funded.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
08ff50a1cabd,Contact agency,redirect,B-HEARD is transitioning fully to NYC Health + Hospitals by Spring 2026.,,,NYC Health + Hospitals,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
